Congressional District,Two-Digit District,Average Household Size,% Housing Units That Are Mobile Homes,% Housing Units Built in 2005 or Later,% Housing Units Built in 1939 or Earlier,% Homes Heated Principally With Gas,% Homes Heated Principally With Electricity,"% Homes Heated Principally with Fuel Oil, Kerosene, Etc."
Florida 23,FL-23,2.89,2.9,2.8,1.7,2.5,93.8,0.1
Florida 24,FL-24,2.59,8.4,6.5,1.2,6.3,92.4,0.4
Florida 25,FL-25,3.31,3.2,4.6,0.3,N,N,N
Georgia 1,GA-01,2.64,21.1,6.2,5.2,17,81.5,0.3
Georgia 2,GA-02,2.53,17.5,2.8,8.1,31.8,66.2,0.4
Georgia 3,GA-03,2.76,7.3,7.8,5.9,56.4,41.8,0.2
Georgia 4,GA-04,2.78,0.9,4.2,1.5,N,N,N
Georgia 5,GA-05,2.4,0.4,5.2,11.6,N,N,N
Georgia 6,GA-06,2.77,0.9,6,0.8,78.2,21.1,0
Georgia 7,GA-07,3.04,3.8,6.8,1.6,66.1,32.8,0.1
Georgia 8,GA-08,2.66,16,4.4,7.1,32,66.3,0.2
Georgia 9,GA-09,2.72,15.2,7.7,3.8,41.7,54.4,0.9
Georgia 10,GA-10,2.6,16.9,3.3,6.9,40.5,56.1,0.7
Georgia 11,GA-11,2.74,8.5,4.5,5,62.3,36.1,0.1
Georgia 12,GA-12,2.67,18.7,4.7,11.2,30.4,67.7,0.3
Georgia 13,GA-13,2.88,2.4,7.9,0.7,65.9,33.4,0.1
Hawaii 1,HI-01,2.79,0,2.2,3.9,3.5,48.1,0
Hawaii 2,HI-02,2.95,0.3,3.4,4.1,3.6,24.8,0.1
Idaho 1,ID-01,2.6,9.5,9.2,7.8,57.4,28.9,3.1
Idaho 2,ID-02,2.67,9,5.1,10.8,53.5,38.3,2.6
Illinois 1,IL-01,2.76,0.6,0.9,34.5,90.8,7.9,0.3
Illinois 2,IL-02,2.79,1.7,1,21.3,91,8.6,0
Illinois 3,IL-03,2.9,1.6,1.6,24.5,93,6.5,0.1
Illinois 4,IL-04,3.19,0.2,1.7,64.1,96.6,3,0
Illinois 5,IL-05,2.52,0.3,2.4,44.3,90.3,8.4,0.1
Illinois 6,IL-06,2.74,0.6,2.1,5.2,88.2,11.2,0
Illinois 7,IL-07,2.41,0.2,3.7,36.5,78.1,20.1,0.3
Illinois 8,IL-08,2.81,1.6,5.4,5.8,89.9,9.6,0
Illinois 9,IL-09,2.37,0.2,1.5,30.6,85.3,12.9,0.3
Illinois 10,IL-10,2.75,0.7,1.7,10.7,88.8,10.6,0.2
Illinois 11,IL-11,2.75,4.4,5.9,18.8,88.4,10.1,0.3
